file,config_1,config_2,train_accuracy,val_accuracy,avg_recall,avg_precision,avg_f1,train_time,val_time
testing_data.csv,l1,0.1,0.7683333333333333,0.75,0.751469151007663,0.7558994565217392,0.7479221103733847,0.002431631088256836,0.0002579689025878906
testing_data.csv,l1,0.5,0.8266666666666667,0.72,0.720644325481282,0.7226733562331389,0.7191101606726606,0.0019350051879882812,0.00033092498779296875
testing_data.csv,l1,1.0,0.825,0.74,0.7427274288211789,0.7438978521478522,0.7397954558911852,0.0019490718841552734,0.00025010108947753906
testing_data.csv,l1,2.0,0.8133333333333335,0.7650000000000001,0.7667661512702274,0.7685725085259568,0.7645947203805094,0.0020368099212646484,0.0002562999725341797
testing_data.csv,l1,4.0,0.8083333333333333,0.7599999999999999,0.7602191558441558,0.7635835833706524,0.7581171906264523,0.0021631717681884766,0.00030612945556640625
testing_data.csv,l2,0.1,0.8183333333333332,0.75,0.7513149350649351,0.751887077294686,0.7495053900348018,0.0020112991333007812,0.0002589225769042969
testing_data.csv,l2,0.5,0.8283333333333334,0.7449999999999999,0.7473274340393905,0.7495634174098849,0.7442152661649943,0.0019674301147460938,0.0002551078796386719
testing_data.csv,l2,1.0,0.8300000000000001,0.7649999999999999,0.7686382367632367,0.7689564992877493,0.764514934401317,0.0019719600677490234,0.0002505779266357422
testing_data.csv,l2,2.0,0.8300000000000001,0.77,0.7697013757679518,0.7727492885234734,0.7691686031959666,0.0018510818481445312,0.0002522468566894531
testing_data.csv,l2,4.0,0.8333333333333334,0.7,0.7009915756043474,0.7056674532052155,0.6983842628342084,0.0020139217376708984,0.00025200843811035156
training_data_small.csv,l1,0.1,0.4896771771771772,0.4887820512820513,0.49719551282051283,0.2443833210059172,0.3260570473128523,0.0018384456634521484,0.0002548694610595703
training_data_small.csv,l1,0.5,0.8224474474474475,0.6875,0.678422619047619,0.6856894841269842,0.6775158435314685,0.0019512176513671875,0.00025725364685058594
training_data_small.csv,l1,1.0,0.8438438438438439,0.4919871794871795,0.5034655448717948,0.5135969932844933,0.4909361471861472,0.0021598339080810547,0.000263214111328125
training_data_small.csv,l1,2.0,0.857545045045045,0.6362179487179487,0.6514652014652014,0.647624771062271,0.630309274059274,0.0020389556884765625,0.0004143714904785156
training_data_small.csv,l1,4.0,0.9388138138138138,0.530448717948718,0.5321657509157509,0.5359546703296703,0.5261831918081917,0.0024361610412597656,0.0002524852752685547
training_data_small.csv,l2,0.1,0.87743993993994,0.5496794871794872,0.5681118360805861,0.5784200752950752,0.5430049117549117,0.0017132759094238281,0.00038361549377441406
training_data_small.csv,l2,0.5,0.8502252252252253,0.5112179487179488,0.5117330586080586,0.5126717032967033,0.5104895104895105,0.002458810806274414,0.00032782554626464844
training_data_small.csv,l2,1.0,0.8643018018018017,0.6121794871794872,0.6889079670329671,0.7232572115384615,0.6118881118881119,0.002013683319091797,0.0002567768096923828
training_data_small.csv,l2,2.0,0.8915165165165164,0.4855769230769231,0.4769745879120879,0.4816372863247863,0.47722231472231474,0.001851797103881836,0.0002498626708984375
training_data_small.csv,l2,4.0,0.8980855855855856,0.6314102564102564,0.6466918498168497,0.654070322039072,0.6298763736263736,0.001844167709350586,0.0002472400665283203
training_data_large.csv,l1,0.1,0.7183333333333333,0.6100000000000001,0.6101113810758207,0.6105705965012,0.6084553980573345,0.0019960403442382812,0.0002551078796386719
